Row,Lineage_C_405,Lineage_PA_405,Proximity_C_405,Proximity_PA_405,Local_C_405,Local_PA_405,Global_C_405,Global_PA_405
Colony-1,0.941782401867977,0.941782401867977,1.29848878756559,1.29848878756559,1.30265106469296,1.30265106469296,-0.00416227712737194,-0.00416227712737194
Colony-2,1.26494999870285,1.26494999870285,1.15363002234602,1.15363002234602,1.12540022796674,1.12540022796674,0.0282297943792833,0.0282297943792833
Colony-3,1.03084437132537,1.03084437132537,1.57948917939715,1.57948917939715,1.41057096747093,1.41057096747093,0.168918211926222,0.168918211926222
Colony-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mean,1.07919225729873,1.07919225729873,1.34386932976959,1.34386932976959,1.27954075337688,1.27954075337688,0.0643285763927113,0.0643285763927113
std,0.166920527406238,0.166920527406238,0.216526096854678,0.216526096854678,0.143983167537691,0.143983167537691,0.0920138873752087,0.0920138873752087
ciUp,1.49384583429382,1.49384583429382,1.8817499725444,1.8817499725444,1.63721476971452,1.63721476971452,0.292903744026215,0.292903744026215
ciDown,0.664538680303642,0.664538680303642,0.805988686994777,0.805988686994777,0.921866737039233,0.921866737039233,-0.164246591240792,-0.164246591240792
n,3,3,3,3,3,3,3,3
p,0.497598316918589,0.497598316918589,0.110655123203531,0.110655123203531,0.0782000623489105,0.0782000623489105,0.349603475500013,0.349603475500013
